wo_id,wo_description,collection,primary_code,primary_code_description,secondary_code,secondary_code_description,equipment_id,equipment_name,preventive,work_priority,actual_finish,duration,actual_labor_hours
WO259747,Oil Analysis and more specific Routine Oil Analysis related to compressor,compressor,MT010,Oil Analysis,MT010b,Routine Oil Analysis,CWC04013,Chiller 13,TRUE,5,4/6/16 14:00,3:00,1:00
WO230718,Oil Analysis and more specific Routine Oil Analysis related to compressor,compressor,MT010,Oil Analysis,MT010b,Routine Oil Analysis,CWC04013,Chiller 13,TRUE,5,3/23/15 19:30,3:00,1:00
WO230715,Oil Analysis and more specific Routine Oil Analysis related to compressor,compressor,MT010,Oil Analysis,MT010b,Routine Oil Analysis,CWC04007,Chiller 7,TRUE,5,3/23/15 19:30,3:00,1:00
WO387987,Oil Analysis and more specific Routine Oil Analysis related to compressor,compressor,MT010,Oil Analysis,MT010b,Routine Oil Analysis,CWC04014,Chiller 14,TRUE,5,5/21/21 14:00,3:00,1:00
WO362082,Oil Analysis and more specific Routine Oil Analysis related to compressor,compressor,MT010,Oil Analysis,MT010b,Routine Oil Analysis,CWC04007,Chiller 7,TRUE,5,6/26/20 13:00,3:00,1:00
WO230716,Oil Analysis and more specific Routine Oil Analysis related to compressor,compressor,MT010,Oil Analysis,MT010b,Routine Oil Analysis,CWC04010,Chiller 10,TRUE,5,3/23/15 19:30,3:00,1:00
WO285807,Oil Analysis and more specific Routine Oil Analysis related to compressor,compressor,MT010,Oil Analysis,MT010b,Routine Oil Analysis,CWC04010,Chiller 10,TRUE,5,3/22/17 18:49,3:00,1:00
WO337045,Oil Analysis and more specific Routine Oil Analysis related to compressor,compressor,MT010,Oil Analysis,MT010b,Routine Oil Analysis,CWC04013,Chiller 13,TRUE,5,5/19/19 15:30,3:00,1:00
WO236899,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04012,Chiller 12,TRUE,5,6/18/15 15:30,3:00,1:00
WO246339,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04012,Chiller 12,TRUE,5,10/19/15 19:30,3:00,1:00
WO255989,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04012,Chiller 12,TRUE,5,2/23/16 16:00,3:00,1:00
WO213335,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04012,Chiller 12,TRUE,5,9/15/14 15:30,3:00,1:00
WO211015,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04012,Chiller 12,TRUE,5,8/27/14 15:30,3:00,1:00
WO205036,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04012,Chiller 12,TRUE,5,6/18/14 15:30,3:00,1:00
WO289648,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04012,Chiller 12,TRUE,5,5/24/17 13:08,3:00,1:00
WO273027,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04012,Chiller 12,TRUE,5,9/26/16 15:00,3:00,1:00
WO275070,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04012,Chiller 12,TRUE,5,10/18/16 17:53,3:00,1:00
WO292047,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04012,Chiller 12,TRUE,5,6/21/17 15:10,3:00,1:00
WO287797,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04012,Chiller 12,TRUE,5,4/20/17 17:48,3:00,1:00
WO232532,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04012,Chiller 12,TRUE,5,4/29/15 15:30,3:00,1:00
WO219568,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04012,Chiller 12,TRUE,5,11/19/14 15:30,3:00,1:00
WO208022,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04012,Chiller 12,TRUE,5,7/29/14 15:30,3:00,1:00
WO259212,Routine Maintenance and more specific Scheduled Maintenance related to entire chiller system,entire chiller system,MT001,Routine Maintenance,MT001a,Scheduled Maintenance,CWC04012,Chiller 12,TRUE,5,3/23/16 15:00,3:00,1:00
