equipment_id,equipment_name,rule_id,start_time,end_time
CWC04701,Chiller 1,RUL0021,11/24/20 19:00,11/24/20 23:59
CWC04701,Chiller 1,RUL0021,11/25/20 0:00,11/25/20 11:47
CWC04701,Chiller 1,RUL0021,11/29/20 2:57,11/30/20 0:00
CWC04701,Chiller 1,RUL0021,11/30/20 0:00,11/30/20 10:43
CWC04701,Chiller 1,RUL0021,12/2/20 3:19,12/3/20 0:00
CWC04701,Chiller 1,RUL0021,12/3/20 0:00,12/4/20 0:00
CWC04701,Chiller 1,RUL0021,12/4/20 0:00,12/4/20 12:32
CWC04701,Chiller 1,RUL0021,12/6/20 5:57,12/6/20 23:59
CWC04701,Chiller 1,RUL0021,12/7/20 0:00,12/8/20 0:00
CWC04701,Chiller 1,RUL0021,12/8/20 0:00,12/9/20 0:00
CWC04701,Chiller 1,RUL0021,12/9/20 0:00,12/10/20 0:00
CWC04701,Chiller 1,RUL0021,12/10/20 0:00,12/11/20 0:00
CWC04701,Chiller 1,RUL0021,12/11/20 0:00,12/11/20 12:04
CWC04701,Chiller 1,RUL0018,12/12/20 1:30,12/12/20 6:15
CWC04701,Chiller 1,RUL0017,12/14/20 15:15,12/15/20 0:00
CWC04701,Chiller 1,RUL0012,12/14/20 15:15,12/14/20 18:30
CWC04701,Chiller 1,RUL0017,12/15/20 0:00,12/16/20 0:00
CWC04701,Chiller 1,RUL0017,12/16/20 0:00,12/17/20 0:00
CWC04701,Chiller 1,RUL0017,12/17/20 0:00,12/18/20 0:00
CWC04701,Chiller 1,RUL0017,12/18/20 0:00,12/19/20 0:00
CWC04701,Chiller 1,RUL0017,12/19/20 0:00,12/20/20 0:00
CWC04701,Chiller 1,RUL0017,12/20/20 0:00,12/21/20 0:00
CWC04701,Chiller 1,RUL0017,12/21/20 0:00,12/22/20 0:00
CWC04701,Chiller 1,RUL0017,12/22/20 0:00,12/23/20 0:00
CWC04701,Chiller 1,RUL0017,12/23/20 0:00,12/24/20 0:00
CWC04701,Chiller 1,RUL0017,12/24/20 0:00,12/25/20 0:00
CWC04701,Chiller 1,RUL0017,12/25/20 0:00,12/26/20 0:00
CWC04701,Chiller 1,RUL0017,12/26/20 0:00,12/27/20 0:00
CWC04701,Chiller 1,RUL0017,12/27/20 0:00,12/28/20 0:00
CWC04701,Chiller 1,RUL0017,12/28/20 0:00,12/29/20 0:00
CWC04701,Chiller 1,RUL0017,12/29/20 0:00,12/30/20 0:00
CWC04701,Chiller 1,RUL0017,12/30/20 0:00,12/31/20 0:00
CWC04701,Chiller 1,RUL0017,12/31/20 0:00,1/1/21 0:00
