rule_id,rule_name,meter
RUL0012,Chiller - Cooling Substance Temperature Setpoint Attainment,supply coolant pressure
RUL0012,Chiller - Cooling Substance Temperature Setpoint Attainment,return coolant pressure
RUL0013,Chiller - Low Supply Temperature,supply coolant pressure
RUL0013,Chiller - Low Supply Temperature,return coolant pressure
RUL0014,Chiller - Low Supply Temperature,return temperature
RUL0014,Chiller - Low Supply Temperature,supply coolant pressure
RUL0015,Chiller - Efficiency,actual amps
RUL0015,Chiller - Efficiency,compressor amps
RUL0015,Chiller - Efficiency,chiller efficiency
RUL0015,Chiller - Efficiency,power input
RUL0016,Chiller - Condenser Water Flow Through A Chiller That Is Off,condenser water flow
RUL0017,Chiller - Load Low,actual amps
RUL0017,Chiller - Load Low,compressor amps
RUL0017,Chiller - Load Low,chiller % loaded
RUL0018,Chiller - Evaporator Approach High,supply coolant pressure
RUL0018,Chiller - Evaporator Approach High,liquid refrigerant evaporator temperature
RUL0019,Chiller - Condenser Approach High,condenser liquid refrigerant temperature
RUL0019,Chiller - Condenser Approach High,condenser water return to tower temperature
RUL0019,Chiller - Condenser Approach High,Condenser Approach Temperature
RUL0020,Chiller - Chilled water differential pressure setpoint attainment,supply coolant pressure
RUL0020,Chiller - Chilled water differential pressure setpoint attainment,return coolant pressure
RUL0020,Chiller - Chilled water differential pressure setpoint attainment,coolant pressure difference setpoint
RUL0021,Chiller - Excessive Power use in chiller that is off,actual amps
RUL0021,Chiller - Excessive Power use in chiller that is off,compressor amps
RUL0021,Chiller - Excessive Power use in chiller that is off,Power Input
RUL0022,Chiller - Chiller Cycling,loop mode
RUL0023,Chiller - Out of Optimum Energy Loop Mode,loop mode
RUL0024,Chiller - VFD Speed is Low,actual amps
RUL0024,Chiller - VFD Speed is Low,compressor amps
RUL0024,Chiller - VFD Speed is Low,vfd speed %
RUL0025,Chiller - VFD Speed is High,actual amps
RUL0025,Chiller - VFD Speed is High,compressor amps
RUL0025,Chiller - VFD Speed is High,vfd speed %
RUL0026,Chiller - Amperage is High,actual amps
RUL0026,Chiller - Amperage is High,compressor amps
RUL0027,Chiller - Makeup Water High,makeup water flag
RUL0028,Chiller - Chilled water leaving temperature varies between chillers,chilled water delta temperature
RUL0029,Chiller - Chiller Off and running chilled water,chilled water delta temperature
RUL0029,Chiller - Chiller Off and running chilled water,supply coolant pressure
RUL0030,Chiller - Surging,actual amps
RUL0030,Chiller - Surging,compressor amps
