collection,component
compressor,compressor
entire chiller system,chiller
refrigerant circuit,refrigerant circuit
calibration and control elements,control system
calibration and control elements,temperature sensor
calibration and control elements,pressure sensor
calibration and control elements,flow meter
calibration and control elements,expansion valve
control system,control system
condenser,condenser
condenser|evaporator,condenser|evaporator
motor,motor
evaporator,evaporator
cooling tower,cooling tower
pressure monitoring and control components,control system
pressure monitoring and control components,evaporator
pressure monitoring and control components,condenser
refrigerant circuit|control system,refrigerant circuit
refrigerant circuit|control system,control system
