event_id,event_group,event_category,event_type,description,equipment_id,equipment_name,event_time,note
WO-16170,WORK_ORDER,PM,MT013,Vibration Analysis,CWC04701,Chiller 1,2010-06-22 14:12:00,
WO16228,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2010-06-22 14:12:00,
WO37670,WORK_ORDER,CM,MT009,Refrigerant Transfer,CWC04701,Chiller 1,2010-10-01 15:30:00,
WO39844,WORK_ORDER,CM,L001,Refrigerant Leak,CWC04701,Chiller 1,2010-10-01 15:30:00,
WO37003,WORK_ORDER,CM,MT001,Routine Maintenance,CWC04701,Chiller 1,2010-10-06 15:30:00,
WO39871,WORK_ORDER,CM,MT008,Leak Detection,CWC04701,Chiller 1,2010-10-06 15:30:00,
WO27384,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2010-10-25 18:11:00,
WO24939,WORK_ORDER,PM,MT010,Oil Analysis,CWC04701,Chiller 1,2010-10-25 19:53:00,
WO30168,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2010-10-25 19:53:00,
WO24544,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2010-10-25 19:53:00,
WO26819,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2010-10-25 19:53:00,
WO22054,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2010-10-25 19:53:00,
WO24031,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2010-10-25 19:53:00,
WO20954,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2010-10-25 19:53:00,
WO28317,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2010-10-25 19:53:00,
WO25733,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2010-10-25 19:53:00,
WO23174,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2010-10-25 19:53:00,
WO18352,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2010-10-25 19:53:00,
WO22504,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2010-10-25 19:53:00,
WO19829,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2010-10-25 19:53:00,
WO23468,WORK_ORDER,PM,MT013,Vibration Analysis,CWC04701,Chiller 1,2010-10-25 20:38:00,
WO29654,WORK_ORDER,PM,MT013,Vibration Analysis,CWC04701,Chiller 1,2010-10-25 20:38:00,
WO34537,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2010-11-09 15:30:00,
WO39877,WORK_ORDER,CM,OP004,Flow Sensor Failure,CWC04701,Chiller 1,2010-11-30 14:37:00,
WO37360,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2010-12-01 15:30:00,
WO39152,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2010-12-01 15:30:00,
WO41201,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2010-12-17 15:30:00,
WO42030,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2010-12-23 15:30:00,
WO42162,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2011-01-01 15:30:00,
WO45190,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2011-01-10 15:30:00,
WO43949,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2011-01-12 15:30:00,
WO45735,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2011-01-20 15:30:00,
WO49227,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2011-02-10 09:30:00,
WO49476,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2011-02-10 15:30:00,
WO48064,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2011-02-10 15:30:00,
WO49970,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2011-02-14 15:30:00,
WO49469,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2011-03-01 15:30:00,
WO52222,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2011-03-01 15:30:00,
WO54578,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2011-03-25 09:00:00,
WO56771,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2011-04-08 15:30:00,
WO58584,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2011-04-26 17:30:00,
WO57479,WORK_ORDER,PM,MT013,Vibration Analysis,CWC04701,Chiller 1,2011-04-27 12:00:00,
WO61128,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2011-05-05 15:30:00,
WO62855,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2011-05-18 15:30:00,
WO66429,WORK_ORDER,CM,L001,Refrigerant Leak,CWC04701,Chiller 1,2011-05-26 19:30:00,
WO64853,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2011-05-28 15:30:00,
WO67488,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2011-06-23 15:30:00,
WO69502,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2011-07-08 15:30:00,
WO71252,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2011-08-05 15:30:00,
WO73723,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2011-08-05 15:30:00,
WO73868,WORK_ORDER,PM,MT010,Oil Analysis,CWC04701,Chiller 1,2011-08-13 15:30:00,
WO76088,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2011-08-25 15:30:00,
WO77906,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2011-09-06 15:30:00,
WO81348,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2011-10-19 07:30:00,
WO84139,WORK_ORDER,PM,MT011,Calibration,CWC04701,Chiller 1,2011-10-27 07:30:00,
WO85174,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2011-11-03 07:30:00,
WO83265,WORK_ORDER,PM,MT010,Oil Analysis,CWC04701,Chiller 1,2011-11-03 07:30:00,
WO83136,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2011-11-03 08:00:00,
WO79219,WORK_ORDER,PM,MT001,Routine Maintenance,CWC04701,Chiller 1,2011-11-04 19:30:00,
WO91911,WORK_ORDER,CM,CS004,Software Error,CWC04701,Chiller 1,2011-11-15 15:30:00,
