category,primary_code,primary_code_description,secondary_code,secondary_code_description
Structural and Mechanical Failures,M001,Cracking,M001a,Cracking in Piping
Structural and Mechanical Failures,M001,Cracking,M001b,Cracking in Structural Frame
Structural and Mechanical Failures,M002,Fracture,M002a,Fracture in Heat Exchanger
Structural and Mechanical Failures,M002,Fracture,M002b,Fracture in Compressor
Structural and Mechanical Failures,M003,Deformation,M003a,Deformation of Blades
Structural and Mechanical Failures,M003,Deformation,M003b,Deformation of Housing
Structural and Mechanical Failures,M004,Rupture,M004a,Rupture in Piping
Structural and Mechanical Failures,M004,Rupture,M004b,Rupture in Vessels
Structural and Mechanical Failures,M005,Misalignment,M005a,Misalignment of Motor
Structural and Mechanical Failures,M005,Misalignment,M005b,Misalignment of Shaft
Structural and Mechanical Failures,M005,Misalignment,M005c,Misalignment in Flow Control Valve
Structural and Mechanical Failures,M006,Overheating,M006a,Overheating of Motor
Structural and Mechanical Failures,M006,Overheating,M006b,Overheating of Compressor
Structural and Mechanical Failures,M007,Overloading,M007a,Electrical Overloading
Structural and Mechanical Failures,M007,Overloading,M007b,Mechanical Overloading
Structural and Mechanical Failures,M008,Vibration Issues,M008a,High Frequency Vibration
Structural and Mechanical Failures,M008,Vibration Issues,M008b,Low Frequency Vibration
Structural and Mechanical Failures,M009,Actuator Failure,M009a,Hydraulic Actuator Failure
Structural and Mechanical Failures,M009,Actuator Failure,M009b,Pneumatic Actuator Failure
Structural and Mechanical Failures,M010,Compressor Failure,M010a,Electrical Failure
Structural and Mechanical Failures,M010,Compressor Failure,M010b,Mechanical Failure
Structural and Mechanical Failures,M011,Motor Failure,M011a,Electrical Motor Failure
Structural and Mechanical Failures,M011,Motor Failure,M011b,Mechanical Motor Failure
Structural and Mechanical Failures,M012,Sensor/Transducer Failure,M012a,Temperature Sensor Failure
Structural and Mechanical Failures,M012,Sensor/Transducer Failure,M012b,Pressure Sensor Failure
Structural and Mechanical Failures,M013,Condenser Plugged,M013a,Condenser Plugged (Partial)
Structural and Mechanical Failures,M013,Condenser Plugged,M013b,Condenser Plugged (Complete)
Structural and Mechanical Failures,M013,Condenser Plugged,M013c,Condenser Plugged (Severe)
Structural and Mechanical Failures,M014,Condenser Tube Leak,M014a,Minor Leak
Structural and Mechanical Failures,M014,Condenser Tube Leak,M014b,Major Leak
Structural and Mechanical Failures,M015,Flow Sensor Failure,M015a,Sensor Not Responding
Structural and Mechanical Failures,M015,Flow Sensor Failure,M015b,Incorrect Sensor Reading
Structural and Mechanical Failures,M016,Draining Operations,M016a,Drain Water
Structural and Mechanical Failures,M016,Draining Operations,M016b,Drain Oil
Structural and Mechanical Failures,M017,Major Overhaul,M017a,Chiller Overhaul
Structural and Mechanical Failures,M017,Major Overhaul,M017b,Piping Overhaul
Structural and Mechanical Failures,M017,Major Overhaul,M017c,Compressor Overhaul
Structural and Mechanical Failures,M017,Major Overhaul,M017d,Motor Overhaul
Structural and Mechanical Failures,M018,Replacement,M018a,Chiller Replacement
Structural and Mechanical Failures,M018,Replacement,M018b,Component Replacement
Structural and Mechanical Failures,M019,Installation,M019a,Install Chiller Component
Structural and Mechanical Failures,M019,Installation,M019b,Install Piping
Structural and Mechanical Failures,M020,Head Operations,M020a,Remove Heads
Structural and Mechanical Failures,M020,Head Operations,M020b,Reinstall Heads
Structural and Mechanical Failures,M020,Head Operations,M020c,Set Up for Overhaul
Corrosion and Wear,C001,Corrosion,C001a,Surface Corrosion
Corrosion and Wear,C001,Corrosion,C001b,Pitting Corrosion
Corrosion and Wear,C002,Erosion,C002a,Erosion in Piping
Corrosion and Wear,C002,Erosion,C002b,Erosion in Heat Exchanger
Corrosion and Wear,C003,Wear,C003a,Bearing Wear
Corrosion and Wear,C003,Wear,C003b,Shaft Wear
Corrosion and Wear,C004,Abrasion,C004a,Surface Abrasion
Corrosion and Wear,C004,Abrasion,C004b,Internal Abrasion
Leaks and Seepage,L001,Refrigerant Leak,L001a,Small Leak
Leaks and Seepage,L001,Refrigerant Leak,L001b,Large Leak
Leaks and Seepage,L002,Condenser Tube Leak,L002a,Minor Leak
Leaks and Seepage,L002,Condenser Tube Leak,L002b,Major Leak
Leaks and Seepage,L003,Evaporator Leak,L003a,Minor Leak
Leaks and Seepage,L003,Evaporator Leak,L003b,Major Leak
Leaks and Seepage,L004,Piping Leak,L004a,Small Leak
Leaks and Seepage,L004,Piping Leak,L004b,Large Leak
Leaks and Seepage,L005,Seepage,L005a,Refrigerant Seepage
Leaks and Seepage,L005,Seepage,L005b,Water Seepage
Electrical Failures,E001,Short Circuit,E001a,Short Circuit in Control Circuit
Electrical Failures,E001,Short Circuit,E001b,Short Circuit in Power Circuit
Electrical Failures,E002,Open Circuit,E002a,Open Circuit in Control Circuit
Electrical Failures,E002,Open Circuit,E002b,Open Circuit in Power Circuit
Electrical Failures,E003,Insulation Failure,E003a,Insulation Breakdown
Electrical Failures,E003,Insulation Failure,E003b,Insulation Wear
Electrical Failures,E004,Overvoltage,E004a,Transient Overvoltage
Electrical Failures,E004,Overvoltage,E004b,Sustained Overvoltage
Electrical Failures,E005,Undervoltage,E005a,Transient Undervoltage
Electrical Failures,E005,Undervoltage,E005b,Sustained Undervoltage
Electrical Failures,E006,VFD (Variable Frequency Drive) Failure,E006a,Control Failure
Electrical Failures,E006,VFD (Variable Frequency Drive) Failure,E006b,Power Module Failure
Control System Failures,CS001,Calibration Drift,CS001a,Sensor Calibration Drift
Control System Failures,CS001,Calibration Drift,CS001b,Actuator Calibration Drift
Control System Failures,CS002,Sensor Failure,CS002a,Temperature Sensor Failure
Control System Failures,CS002,Sensor Failure,CS002b,Pressure Sensor Failure
Control System Failures,CS003,Actuator Failure,CS003a,Mechanical Actuator Failure
Control System Failures,CS003,Actuator Failure,CS003b,Electrical Actuator Failure
Control System Failures,CS004,Software Error,CS004a,Control Software Error
Control System Failures,CS004,Software Error,CS004b,Monitoring Software Error
Control System Failures,CS005,Control System Malfunction,CS005a,Control Loop Failure
Control System Failures,CS005,Control System Malfunction,CS005b,Communication Failure
Control System Failures,CS006,Control System Lag,CS006a,Slow Response to Temperature Changes
Control System Failures,CS007,Overactive Control Logic,CS007a,Excessive Adjustments Causing Overcooling
Human Factors,H001,Human Error,H001a,Operational Error
Human Factors,H001,Human Error,H001b,Maintenance Error
Human Factors,H002,Improper Operation,H002a,Incorrect Start-Up Procedure
Human Factors,H002,Improper Operation,H002b,Incorrect Shut-Down Procedure
Human Factors,H002,Improper Operation,H002c,Improper Flow Valve Adjustment
Human Factors,H003,Improper Maintenance,H003a,Inadequate Lubrication
Human Factors,H003,Improper Maintenance,H003b,Incorrect Component Installation
External Influences,EX001,Environmental Impact,EX001a,Temperature Extremes
External Influences,EX001,Environmental Impact,EX001b,Humidity Impact
External Influences,EX002,Chemical Exposure,EX002a,Corrosive Chemicals
External Influences,EX002,Chemical Exposure,EX002b,Reactive Chemicals
External Influences,EX003,Physical Impact,EX003a,Impact from External Objects
External Influences,EX003,Physical Impact,EX003b,Vandalism
Operational Failures,OP001,Process Upset,OP001a,Unexpected Load Change
Operational Failures,OP001,Process Upset,OP001b,Control System Upset
Operational Failures,OP002,Blockage,OP002a,Partial Blockage
Operational Failures,OP002,Blockage,OP002b,Complete Blockage
Operational Failures,OP003,Contamination,OP003a,Contamination in Refrigerant
Operational Failures,OP003,Contamination,OP003b,Contamination in Water
Operational Failures,OP004,Flow Sensor Failure,OP004a,Sensor Not Responding
Operational Failures,OP004,Flow Sensor Failure,OP004b,Incorrect Sensor Reading
Operational Failures,OP004,Incorrect Cooling Zone Operation,OP004c,Improperly Controlled or Shut Off Zones
Maintenance and Routine Checks,MT001,Routine Maintenance,MT001a,Scheduled Maintenance
Maintenance and Routine Checks,MT001,Routine Maintenance,MT001b,Unscheduled Maintenance
Maintenance and Routine Checks,MT002,Cleaning,MT002a,External Cleaning
Maintenance and Routine Checks,MT002,Cleaning,MT002b,Internal Cleaning
Maintenance and Routine Checks,MT003,Lubrication,MT003a,Lubrication of Bearings
Maintenance and Routine Checks,MT003,Lubrication,MT003b,Lubrication of Shafts
Maintenance and Routine Checks,MT004,Refrigerant Addition,MT004a,Small Amount
Maintenance and Routine Checks,MT004,Refrigerant Addition,MT004b,Large Amount
Maintenance and Routine Checks,MT005,Pressure Test,MT005a,Low Pressure Test
Maintenance and Routine Checks,MT005,Pressure Test,MT005b,High Pressure Test
Maintenance and Routine Checks,MT006,Major Overhaul,MT006a,Compressor Overhaul
Maintenance and Routine Checks,MT006,Major Overhaul,MT006b,Motor Overhaul
Maintenance and Routine Checks,MT007,Eddy Current Test,MT007a,Condenser Eddy Current Test
Maintenance and Routine Checks,MT007,Eddy Current Test,MT007b,Evaporator Eddy Current Test
Maintenance and Routine Checks,MT008,Leak Detection,MT008a,Visual Inspection
Maintenance and Routine Checks,MT008,Leak Detection,MT008b,Pressure Test
Maintenance and Routine Checks,MT009,Refrigerant Transfer,MT009a,Transfer to Storage
Maintenance and Routine Checks,MT009,Refrigerant Transfer,MT009b,Transfer to Another Unit
Maintenance and Routine Checks,MT010,Oil Analysis,MT010a,Initial Oil Analysis
Maintenance and Routine Checks,MT010,Oil Analysis,MT010b,Routine Oil Analysis
Maintenance and Routine Checks,MT010,Oil Analysis,MT010c,Post-Maintenance Oil Analysis
Maintenance and Routine Checks,MT011,Calibration,MT011a,Sensor Calibration
Maintenance and Routine Checks,MT011,Calibration,MT011b,Control System Calibration
Maintenance and Routine Checks,MT011,Calibration,MT011c,Flow Meter Calibration
Maintenance and Routine Checks,MT012,Freon Management,MT012a,Freon Level Check
Maintenance and Routine Checks,MT012,Freon Management,MT012b,Freon Addition
Maintenance and Routine Checks,MT012,Freon Management,MT012c,Freon Recycling and Disposal
Maintenance and Routine Checks,MT013,Vibration Analysis,MT013a,Initial Vibration Analysis
Maintenance and Routine Checks,MT013,Vibration Analysis,MT013b,Routine Vibration Analysis
Maintenance and Routine Checks,MT013,Vibration Analysis,MT013c,Post-Maintenance Vibration Analysis
Maintenance and Routine Checks,MT014,Filter Replacement,MT014a,Air Filter Replacement
Maintenance and Routine Checks,MT014,Filter Replacement,MT014b,Oil Filter Replacement
Maintenance and Routine Checks,MT014,Filter Replacement,MT014c,Water Filter Replacement
Maintenance and Routine Checks,MT015,Filling Operations,MT015a,Fill Water Piping
